Model,Day,BIC
TCL ,0.5,4155
TCL ,1,4171
TCL ,1.5,4278
TCL ,2,4457
TCL ,3,4578
TCL ,4,4987
TCL ,5,5255
TCL ,6,5091
TCL ,7,5650
TCL ,8,6456
TCL ,9,6276
TCL ,10,5872
TCL ,11,5758
TCL ,12,5741
TCL ,13,5777
TCL ,14,5918
TCLE ,0.5,4383
TCLE ,1,4428
TCLE ,1.5,4411
TCLE ,2,4445
TCLE ,3,4450
TCLE ,4,4463
TCLE ,5,4498
TCLE ,6,4485
TCLE ,7,4491
TCLE ,8,4464
TCLE ,9,4483
TCLE ,10,4461
TCLE ,11,4474
TCLE ,12,4452
TCLE ,13,4473
TCLE ,14,4470
